,country,region,lead_investors,company_link,img_src,company_name,post_money_value,total_eq_funding
308,India,Asia,"B Capital, Fidelity",https://www.crunchbase.com/organization/meesho,https://images.crunchbase.com/image/upload/t_cb-default-original/kjbm55kmrzhnofciajm1,Meesho,$4B,$1B
309,Liechtenstein,Europe,Bain Capital Crypto,https://www.crunchbase.com/organization/lazyledger,https://images.crunchbase.com/image/upload/t_cb-default-original/z7uqxytj4rhkympenrs1,Celestia,$4B,$157M
310,United States,North America,Lightspeed Venture Partners,https://www.crunchbase.com/organization/aledade,https://images.crunchbase.com/image/upload/t_cb-default-original/z7b8wtqnnzfu11n3elhc,Aledade,$4B,$678M
311,United States,North America,Google Ventures,https://www.crunchbase.com/organization/cribl,https://images.crunchbase.com/image/upload/t_cb-default-original/yctnrjggygvlgdzwooag,Cribl,$4B,$602M
312,India,Asia,Temasek Holdings,https://www.crunchbase.com/organization/unacademy,https://images.crunchbase.com/image/upload/t_cb-default-original/xievfhrsgm40asesplf7,Unacademy,$3B,$789M
313,China,Asia,"Alibaba Group, Tencent",https://www.crunchbase.com/organization/baichuan-intelligence,https://images.crunchbase.com/image/upload/t_cb-default-original/kvjt7cgpptlpm5ijd00i,Baichuan Intelligence,$3B,$740M
314,Austria,Europe,Prosus & Naspers,https://www.crunchbase.com/organization/gostudent,https://images.crunchbase.com/image/upload/t_cb-default-original/qzqlnhvps9hyofdljvdm,GoStudent,$3B,$780M
315,United States,North America,"Coatue, Tiger Global Management",https://www.crunchbase.com/organization/moonpay,https://images.crunchbase.com/image/upload/t_cb-default-original/jglje7ar0xc6j5lvai6t,MoonPay,$3B,$651M
316,United States,North America,One Equity Partners,https://www.crunchbase.com/organization/armis-security,https://images.crunchbase.com/image/upload/t_cb-default-original/mlj1mdj8nxgr2dpwhdrl,Armis Security,$3B,$537M
317,India,Asia,"Accel, SoftBank Vision Fund",https://www.crunchbase.com/organization/eruditus-executive-education,https://images.crunchbase.com/image/upload/t_cb-default-original/ak4bvzwaovf6hfqhvoqk,Eruditus Executive Education,$3B,$591M
318,China,Asia,"Asia Forge (Cayman), Trustbridge Partners",https://www.crunchbase.com/organization/hive-box,https://images.crunchbase.com/image/upload/t_cb-default-original/f70gfgnw2c8ixeot8ffd,Hive Box,$3B,$1B
319,United States,North America,"D1 Capital Partners, Tiger Global Management",https://www.crunchbase.com/organization/highradius,https://images.crunchbase.com/image/upload/t_cb-default-original/cq6kgmzsgbjjjcucfa2u,HighRadius,$3B,$475M
320,South Korea,Asia,Anchor Equity Partners,https://www.crunchbase.com/organization/market-kurly,https://images.crunchbase.com/image/upload/t_cb-default-original/o3f1wzhalawbcp9qybko,Market Kurly,$3B,$767M
321,United States,North America,Alkeon Capital,https://www.crunchbase.com/organization/starburst,https://images.crunchbase.com/image/upload/t_cb-default-original/imsmiqjafibkwqzcwsrb,Starburst,$3B,$414M
322,China,Asia,Gezhi Asset Management,https://www.crunchbase.com/organization/youxiamotors,https://images.crunchbase.com/image/upload/t_cb-default-original/q3frjlyy19nk7plocihl,Youxia Motors,$3B,$1B
323,United Kingdom,Europe,Goldman Sachs,https://www.crunchbase.com/organization/starling-3,https://images.crunchbase.com/image/upload/t_cb-default-original/wrbamyaduy0t8rm8mtxk,Starling Bank,$3B,$956M
324,China,Asia,"Enterprise Mixed Ownership Reform Fund, SASAC",https://www.crunchbase.com/organization/zhizi-automobile,https://images.crunchbase.com/image/upload/t_cb-default-original/ogwcryvcid8yy79xlm5k,Zhizi Automobile,$3B,$150M
325,United States,North America,Greenbriar Equity Group,https://www.crunchbase.com/organization/uber-freight,https://images.crunchbase.com/image/upload/t_cb-default-original/gwtcbcrmbknraodej5b3,Uber Freight,$3B,$1B
326,China,Asia,"Alibaba Group, Sequoia Capital China",https://www.crunchbase.com/organization/dark-side-of-the-moon,https://images.crunchbase.com/image/upload/t_cb-default-original/gew2c0smnwnzcvd6lwiz,Moonshot AI,$3B,$2B
327,United States,North America,Generation Investment Management,https://www.crunchbase.com/organization/spring-care,https://images.crunchbase.com/image/upload/t_cb-default-original/jq1vercgdqkvbczudhfe,Spring Health,$3B,$467M
328,United States,North America,Coatue,https://www.crunchbase.com/organization/komodo-health,https://images.crunchbase.com/image/upload/t_cb-default-original/n7nf1mh7ronqk24vdi1x,Komodo Health,$3B,$514M
329,United States,North America,CVS Health Ventures,https://www.crunchbase.com/organization/carbon-health,https://images.crunchbase.com/image/upload/t_cb-default-original/a8jkzl0dm18siwuz03rj,Carbon Health,$3B,$623M
330,China,Asia,Sino Biopharmaceutical,https://www.crunchbase.com/organization/sinovac-life-sciences,https://images.crunchbase.com/image/upload/t_cb-default-original/w2w7xxm1hdz0cy66npm0,Sinovac Life Sciences,$3B,$500M
331,China,Asia,Hillhouse Investment,https://www.crunchbase.com/organization/microport-medbot,https://images.crunchbase.com/image/upload/t_cb-default-original/ei0zveo7qybtqhyoiz6a,MicroPort Medbot,$3B,$747M
332,China,Asia,TPG,https://www.crunchbase.com/organization/du-xiaoman-financial,https://images.crunchbase.com/image/upload/t_cb-default-original/ao17aeq3tans16nwmbzo,Du Xiaoman Financial,$3B,$2B
333,China,Asia,Zhuzhou CRRC Times Electric,https://www.crunchbase.com/organization/zhuzhou-crrc-times-semiconductor,,Zhuzhou CRRC Times Semiconductor,$3B,$28M
334,United States,North America,"Sapphire Ventures, Tiger Global Management",https://www.crunchbase.com/organization/blockdaemon,https://images.crunchbase.com/image/upload/t_cb-default-original/loofgtnytw5te0ssqlyb,Blockdaemon,$3B,$431M
335,United States,North America,Teachers’ Venture Growth,https://www.crunchbase.com/organization/bilt-technologies,https://images.crunchbase.com/image/upload/t_cb-default-original/jksppbhigwphkhrjffih,Bilt Rewards,$3B,$563M
336,United States,North America,Accel,https://www.crunchbase.com/organization/vercel,https://images.crunchbase.com/image/upload/t_cb-default-original/dtokjerhk1dxyludtlwc,Vercel,$3B,$563M
337,China,Asia,Wuhan Hi-tech Huizhi Capital,https://www.crunchbase.com/organization/innoscience-9ba8,https://images.crunchbase.com/image/upload/t_cb-default-original/tv5iikdg9tqm6lio3l9p,Innoscience,$3B,$949M
338,China,Asia,Everest Venture Capital,https://www.crunchbase.com/organization/qi-an-xin,https://images.crunchbase.com/image/upload/t_cb-default-original/veyzwjbz6ustygjiidhd,Qi An Xin,$3B,$536M
339,China,Asia,WANDA Group,https://www.crunchbase.com/organization/wanda-e-commerce-2,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Wanda E-Commerce,$3B,$975M
340,Finland,Europe,Eurazeo,https://www.crunchbase.com/organization/aiven,https://images.crunchbase.com/image/upload/t_cb-default-original/z7ylyg9cpomq3deetmpl,Aiven,$3B,$420M
341,India,Asia,Global Car Group,https://www.crunchbase.com/organization/cars24,https://images.crunchbase.com/image/upload/t_cb-default-original/qmchqjhzsi3knlzu4vqm,CARS24,$3B,$1B
342,United States,North America,"10T Holdings, Morgan Creek Digital",https://www.crunchbase.com/organization/figure-66e9,https://images.crunchbase.com/image/upload/t_cb-default-original/c8emlsjypfgbhnmvq8t1,Figure,$3B,$447M
343,Canada,North America,Kingsway Capital,https://www.crunchbase.com/organization/blockstream,https://images.crunchbase.com/image/upload/t_cb-default-original/zlsfbf3ciwj9x2ygcrkq,Blockstream,$3B,$299M
344,United States,North America,Mubadala Capital Ventures,https://www.crunchbase.com/organization/innovaccer,https://images.crunchbase.com/image/upload/t_cb-default-original/b560ed92db3c4cdebf15856c9b46f300,Innovaccer,$3B,$379M
345,United States,North America,Qatar Investment Authority,https://www.crunchbase.com/organization/thumbtack,https://images.crunchbase.com/image/upload/t_cb-default-original/d1brkhuydqzk7bm5eeyo,Thumbtack,$3B,$698M
346,United States,North America,Memorial Hermann Foundation,https://www.crunchbase.com/organization/cedar-0db2,https://images.crunchbase.com/image/upload/t_cb-default-original/as7a1kfnmvmkcx4nziou,Cedar,$3B,$394M
347,United States,North America,Franklin Templeton,https://www.crunchbase.com/organization/ironclad,https://images.crunchbase.com/image/upload/t_cb-default-original/jqeacbadxfgjkjctehtb,Ironclad,$3B,$334M
348,United States,North America,Sequoia Capital,https://www.crunchbase.com/organization/retool,https://images.crunchbase.com/image/upload/t_cb-default-original/ebdqcp31sow3i8wngq7h,Retool,$3B,$141M
349,United States,North America,Alkeon Capital,https://www.crunchbase.com/organization/verkada,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Verkada,$3B,$444M
350,Belgium,Europe,General Atlantic,https://www.crunchbase.com/organization/odoo,https://images.crunchbase.com/image/upload/t_cb-default-original/ahnrggkezugpsohibkkk,Odoo,$3B,$513M
351,United States,North America,"Australian Government, Queensland Government",https://www.crunchbase.com/organization/psiquantum,https://images.crunchbase.com/image/upload/t_cb-default-original/xmqo2cfaqmub7ipbzb1f,PsiQuantum,$3B,$1B
352,Brazil,South America,"Insight Partners, Tiger Global Management",https://www.crunchbase.com/organization/nuvemshop-tiendanube,https://images.crunchbase.com/image/upload/t_cb-default-original/cgeq9ebwi9x07nmbqzvx,Nuvemshop,$3B,$628M
353,China,Asia,"Hillhouse Investment, Longzhu Capital",https://www.crunchbase.com/organization/mixuebingcheng,https://images.crunchbase.com/image/upload/t_cb-default-original/lm9bo3rtj1jcixau4v9c,Mixuebingcheng,$3B,$309M
354,Hong Kong,Asia,Fenbushi Capital,https://www.crunchbase.com/organization/amber-ai,https://images.crunchbase.com/image/upload/t_cb-default-original/qm8autyq3egackzjdlcz,Amber Group,$3B,$628M
355,United States,North America,B Capital,https://www.crunchbase.com/organization/flutterwave,https://images.crunchbase.com/image/upload/t_cb-default-original/vmyyszxktkt2ms8pls7b,Flutterwave,$3B,$509M
356,Germany,Europe,Blockchain Capital,https://www.crunchbase.com/organization/worldcoin,https://images.crunchbase.com/image/upload/t_cb-default-original/zpu162p6nzztwtpirlkc,Worldcoin,$3B,$244M
357,United States,North America,Benchmark,https://www.crunchbase.com/organization/tinder,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Tinder,$3B,$0
358,United States,North America,"Andreessen Horowitz, Eldridge Industries",https://www.crunchbase.com/organization/cross-river-bank,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Cross River Bank,$3B,$775M
359,The Netherlands,Europe,Spark Capital,https://www.crunchbase.com/organization/messagebird,https://images.crunchbase.com/image/upload/t_cb-default-original/sfhehvk3jxrqmty97nfq,Bird,$3B,$1B
360,United States,North America,Kohlberg Kravis Roberts,https://www.crunchbase.com/organization/anchorage,https://images.crunchbase.com/image/upload/t_cb-default-original/i18deynuzgww31vlalzy,Anchorage Digital,$3B,$487M
361,United States,North America,Lead Edge Capital,https://www.crunchbase.com/organization/launchdarkly,https://images.crunchbase.com/image/upload/t_cb-default-original/b5qnw15lckk72stqydxp,LaunchDarkly,$3B,$330M
362,United States,North America,"Alta Park Capital, BlackRock",https://www.crunchbase.com/organization/automattic,https://images.crunchbase.com/image/upload/t_cb-default-original/kvmkceyakxcyqnmoakwu,Automattic,$3B,$859M
363,Germany,Europe,Tiger Global Management,https://www.crunchbase.com/organization/contentful,https://images.crunchbase.com/image/upload/t_cb-default-original/cttnlp3rj6zwloryd39d,Contentful,$3B,$333M
364,United States,North America,OpenView,https://www.crunchbase.com/organization/calendly,https://images.crunchbase.com/image/upload/t_cb-default-original/n4rhawehztxzhmbbdvd8,Calendly,$3B,$351M
365,United States,North America,Y Combinator Continuity Fund,https://www.crunchbase.com/organization/podium-2,https://images.crunchbase.com/image/upload/t_cb-default-original/q8y5tbpqatr0nypy3csi,Podium,$3B,$419M
366,United States,North America,ICONIQ Growth,https://www.crunchbase.com/organization/lucidchart,https://images.crunchbase.com/image/upload/t_cb-default-original/nlrwo3kjxi6mgdyaechw,Lucid Software,$3B,$170M
367,United States,North America,Sam Altman,https://www.crunchbase.com/organization/helion-energy,https://images.crunchbase.com/image/upload/t_cb-default-original/drakjrkmns7ixco9mn4a,Helion Energy,$3B,$573M
368,Brazil,South America,Vulcan Capital,https://www.crunchbase.com/organization/wildlife-studios,https://images.crunchbase.com/image/upload/t_cb-default-original/pjmgbwnzrj3plho8fmol,Wildlife Studios,$3B,$260M
369,United States,North America,Schonfeld Strategic Advisors,https://www.crunchbase.com/organization/inxeption,https://images.crunchbase.com/image/upload/t_cb-default-original/eqq9rqdentbvkl3dpu5o,Inxeption,$3B,$187M
370,Germany,Europe,Canyon Partners,https://www.crunchbase.com/organization/flixbus,https://images.crunchbase.com/image/upload/t_cb-default-original/q1j8stsie9itntvx3par,FlixBus,$3B,$1B
371,India,Asia,eBay,https://www.crunchbase.com/organization/paytm-mall,https://images.crunchbase.com/image/upload/t_cb-default-original/cxv0zvwxaa0qbeykztjz,Paytm Mall,$3B,$795M
372,United States,North America,TPG,https://www.crunchbase.com/organization/age-of-learning,https://images.crunchbase.com/image/upload/t_cb-default-original/vkmfh1at9meq54hl4ycw,Age of Learning,$3B,$500M
373,China,Asia,Alibaba Group,https://www.crunchbase.com/organization/ofo,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",ofo,$3B,$2B
374,United Kingdom,Europe,Tiger Global Management,https://www.crunchbase.com/organization/tradingview,https://images.crunchbase.com/image/upload/t_cb-default-original/ky8axobxhqkfbvqbf3dm,TradingView,$3B,$339M
375,United States,North America,Permira,https://www.crunchbase.com/organization/seismic-software,https://images.crunchbase.com/image/upload/t_cb-default-original/sugpktda1rj5t90mwqt6,Seismic,$3B,$447M
376,India,Asia,ICONIQ Growth,https://www.crunchbase.com/organization/groww,https://images.crunchbase.com/image/upload/t_cb-default-original/nxlvnqryg6qxo4qg7ant,Groww,$3B,$418M
377,United States,North America,Tiger Global Management,https://www.crunchbase.com/organization/activecampaign,https://images.crunchbase.com/image/upload/t_cb-default-original/fapnf7tordausxnki6lj,ActiveCampaign,$3B,$360M
378,China,Asia,"CPE, IDG Capital",https://www.crunchbase.com/organization/didi-freight,https://images.crunchbase.com/image/upload/t_cb-default-original/cdp8ehtvkirgmctcxivn,Didi Freight,$3B,$2B
379,China,Asia,Jun Lei,https://www.crunchbase.com/organization/vancl,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",VANCL,$3B,$522M
380,United States,North America,Tiger Global Management,https://www.crunchbase.com/organization/forter,https://images.crunchbase.com/image/upload/t_cb-default-original/ydmlj6almr9nwpi8qpbj,Forter,$3B,$525M
381,China,Asia,"SINA Corporation, Weibo",https://www.crunchbase.com/organization/miaopai,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Miaopai,$3B,$775M
382,United States,North America,"Bond, Tiger Global Management",https://www.crunchbase.com/organization/outschool,https://images.crunchbase.com/image/upload/t_cb-default-original/fc0dzgmhbjlyawlokhgj,Outschool,$3B,$240M
383,China,Asia,ITOCHU Corporation,https://www.crunchbase.com/organization/singulato-motors,https://images.crunchbase.com/image/upload/t_cb-default-original/gmdy8mc2hbm0sauujrdd,Singulato Motors,$3B,$1B
384,United States,North America,"Dragoneer Investment Group, Elad Gil",https://www.crunchbase.com/organization/lattice-2,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Lattice,$3B,$330M
385,China,Asia,JD.com,https://www.crunchbase.com/organization/kkguan,https://images.crunchbase.com/image/upload/t_cb-default-original/s204c2ou6vdfxp2k6vc3,KK Group,$3B,$612M
386,Singapore,Asia,Hanwha Asset Management,https://www.crunchbase.com/organization/grab-financial-group,https://images.crunchbase.com/image/upload/t_cb-default-original/m4jweuxuhnqvw8ypdlfh,Grab Financial Group,$3B,$4B
387,China,Asia,,https://www.crunchbase.com/organization/alibaba-music,https://images.crunchbase.com/image/upload/t_cb-default-original/ablrin3floe0pchhzdkc,Alibaba Music,$3B,$0
388,United States,North America,"GGV Capital, Sequoia Capital",https://www.crunchbase.com/organization/pingcap,https://images.crunchbase.com/image/upload/t_cb-default-original/jeubamim3h9d7mqjugl4,PingCAP,$3B,$642M
389,Israel,Asia,Lightspeed Venture Partners,https://www.crunchbase.com/organization/cato-networks,https://images.crunchbase.com/image/upload/t_cb-default-original/viidrjuzmvvcdw23mbrp,Cato Networks,$3B,$770M
390,United States,North America,Sapphire Ventures,https://www.crunchbase.com/organization/sword-health,https://images.crunchbase.com/image/upload/t_cb-default-original/fomdlsoahxuznphd17ux,Sword Health,$3B,$326M
391,Lithuania,Europe,Warburg Pincus,https://www.crunchbase.com/organization/nord-security,https://images.crunchbase.com/image/upload/t_cb-default-original/x2sebjjfqupbcfp23mke,Nord Security,$3B,$209M
392,Canada,North America,New Enterprise Associates,https://www.crunchbase.com/organization/clio,https://images.crunchbase.com/image/upload/t_cb-default-original/oabtfnipqfox2setpz8m,Clio,$3B,$1B
393,United States,North America,"Coatue, Sequoia Capital",https://www.crunchbase.com/organization/zero-abstraction,https://images.crunchbase.com/image/upload/t_cb-default-original/oqznhdlzy1f0hviypnp7,Island,$3B,$560M
394,Canada,North America,"OpenSea Ventures, The Spartan Group",https://www.crunchbase.com/organization/layerzero-labs,https://images.crunchbase.com/image/upload/t_cb-default-original/ormey147hx7zpzl2nxrn,LayerZero Labs,$3B,$296M
395,United States,North America,"Accel, Bond",https://www.crunchbase.com/organization/sentry,https://images.crunchbase.com/image/upload/t_cb-default-original/ypy421hvgfeziiuadsmc,Sentry,$3B,$217M
396,United States,North America,Porsche,https://www.crunchbase.com/organization/group14-technologies,https://images.crunchbase.com/image/upload/t_cb-default-original/pisktvdlftye0acbymca,Group14 Technologies,$3B,$649M
397,United States,North America,TA Associates,https://www.crunchbase.com/organization/icims,https://images.crunchbase.com/image/upload/t_cb-default-original/nxjfoleuqq6oo7es9hgn,iCIMS,$3B,$93M
398,United States,North America,L Catterton,https://www.crunchbase.com/organization/icon-health-fitness,https://images.crunchbase.com/image/upload/t_cb-default-original/dcmjdrhedktd06u94boa,iFIT,$3B,$580M
399,United States,North America,SoftBank Vision Fund,https://www.crunchbase.com/organization/remote-d596,https://images.crunchbase.com/image/upload/t_cb-default-original/lgr53obdcfpbrvp6rotv,Remote,$3B,$496M
400,United Kingdom,Europe,"Elrond, Metaverse",https://www.crunchbase.com/organization/improbable,https://images.crunchbase.com/image/upload/t_cb-default-original/ljmjkd244s4kj0swgopc,Improbable,$3B,$704M
401,South Korea,Asia,"Kakao Games, Wemade",https://www.crunchbase.com/organization/lionheart-studio,https://images.crunchbase.com/image/upload/t_cb-default-original/ctnkpwgjdiitcbiwd0lq,Lionheart Studio,$3B,$9M
402,United Kingdom,Europe,"Ally Bridge Group, SoftBank Vision Fund",https://www.crunchbase.com/organization/cmr-surgical,https://images.crunchbase.com/image/upload/t_cb-default-original/xp6sudrxa8uaikuuyojj,CMR Surgical,$3B,$1B
403,,,,https://www.crunchbase.com/organization/abb-e-mobility,https://images.crunchbase.com/image/upload/t_cb-default-original/aqfoewj4yniwhlm2nv4z,ABB E-Mobility,$3B,$358M
404,China,Asia,"Capital Today, Tencent",https://www.crunchbase.com/organization/yipin-fresh,https://images.crunchbase.com/image/upload/t_cb-default-original/vnsgiql74sufdcyro89y,Yipin Fresh,$3B,$659M
405,China,Asia,"5Y Capital, Primavera Capital Group",https://www.crunchbase.com/organization/souche,https://images.crunchbase.com/image/upload/t_cb-default-original/hvdlzx73kibqvaxpj2lf,Souche,$3B,$1B
406,China,Asia,Overseas Chinese Town Holdings,https://www.crunchbase.com/organization/ly-com,https://images.crunchbase.com/image/upload/t_cb-default-original/t41t3vajhgsclhlytxsq,LY.com,$3B,$2B
407,China,Asia,,https://www.crunchbase.com/organization/dueros,https://images.crunchbase.com/image/upload/t_cb-default-original/monhdyo7u1vpe6pg13gs,DuerOS,$3B,$295M
408,China,Asia,Microware,https://www.crunchbase.com/organization/terminus-technologies-co,https://images.crunchbase.com/image/upload/t_cb-default-original/wysted7kmulhvdvumdsd,Terminus Technologies,$3B,$813M
409,United States,North America,Baillie Gifford,https://www.crunchbase.com/organization/rigup,https://images.crunchbase.com/image/upload/t_cb-default-original/tjzvydph53l0oyusmf3o,Workrise,$3B,$722M
410,Brazil,South America,Baillie Gifford,https://www.crunchbase.com/organization/loft-br,https://images.crunchbase.com/image/upload/t_cb-default-original/ax2rrhmdkcojvldkvbza,Loft,$3B,$888M
411,China,Asia,Everbright-IDG Industrial Fund,https://www.crunchbase.com/organization/shanghai-unionpay-merchant-services-co-ltd,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",China UnionPay Merchant Services,$3B,$319M
412,United States,North America,"Accel, Insight Partners",https://www.crunchbase.com/organization/drivewealth,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",DriveWealth,$3B,$551M
413,India,Asia,Tiger Global Management,https://www.crunchbase.com/organization/bharatpe,https://images.crunchbase.com/image/upload/t_cb-default-original/fgvvofdmdg6zgm3txlfw,BharatPe,$3B,$600M
414,United States,North America,"Insight Partners, Kleiner Perkins",https://www.crunchbase.com/organization/keeptruckin,https://images.crunchbase.com/image/upload/t_cb-default-original/jg0f2hdoosaf8gsygmte,Motive,$3B,$567M
415,United States,North America,"General Atlantic, Insight Partners",https://www.crunchbase.com/organization/transmit-security,https://images.crunchbase.com/image/upload/t_cb-default-original/oqpbgxgufy977t4xqanf,Transmit Security,$3B,$583M
416,China,Asia,,https://www.crunchbase.com/organization/sungrow-new-energy,https://images.crunchbase.com/image/upload/t_cb-default-original/tk8j20g6djvqz0xsh5wm,Sungrow New Energy,$3B,$0
417,China,Asia,Zhongguancun Science City Science,https://www.crunchbase.com/organization/zhipu-ai,https://images.crunchbase.com/image/upload/t_cb-default-original/534ca0150ee84b678a20b7d181678fd9,Zhipu AI,$3B,$400M
418,India,Asia,Hornbill Capital Advisers,https://www.crunchbase.com/organization/physics-wallah,https://images.crunchbase.com/image/upload/t_cb-default-original/bzttmklrelqbqw1xauc0,Physics Wallah,$3B,$277M
419,United Kingdom,Europe,SoftBank Vision Fund,https://www.crunchbase.com/organization/oaknorth,https://images.crunchbase.com/image/upload/t_cb-default-original/abofjlbcrlahxsqxh5fa,OakNorth,$3B,$1B
420,India,Asia,Wheelhouse Ventures,https://www.crunchbase.com/organization/zetwerk,https://images.crunchbase.com/image/upload/t_cb-default-original/xltipde8vhtpeeyizdzp,Zetwerk,$3B,$679M
421,United States,North America,BlackRock,https://www.crunchbase.com/organization/groq,https://images.crunchbase.com/image/upload/t_cb-default-original/le3jn0kzou7feco18wuo,Groq,$3B,$1B
422,United States,North America,"Riot Ventures, US Innovative Technology Fund",https://www.crunchbase.com/organization/shield-ai,https://images.crunchbase.com/image/upload/t_cb-default-original/q9xdr37ocntrwm7w8tmg,Shield AI,$3B,$778M
423,South Korea,Asia,Kohlberg Kravis Roberts,https://www.crunchbase.com/organization/musinsa,https://images.crunchbase.com/image/upload/t_cb-default-original/vjcbgqi4pd6meqywvcfd,MUSINSA,$3B,$478M
424,Japan,Asia,,https://www.crunchbase.com/organization/rakuten-securities,https://images.crunchbase.com/image/upload/t_cb-default-original/qsfkfrkbnqfidg9aqyd4,Rakuten Securities,$3B,$0
425,China,Asia,"Bank of Communications, Changan Automobile",https://www.crunchbase.com/organization/avatr,https://images.crunchbase.com/image/upload/t_cb-default-original/houa5ehrf19xgznvkbsh,Avatr,$3B,$791M
426,Indonesia,Asia,PTT Oil and Retail Business Public Company,https://www.crunchbase.com/organization/traveloka,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Traveloka,$3B,$1B
427,United States,North America,Thoma Bravo,https://www.crunchbase.com/organization/illumio,https://images.crunchbase.com/image/upload/t_cb-default-original/at1uzb5qlssxgsexy67x,Illumio,$3B,$558M
428,United States,North America,Fidelity,https://www.crunchbase.com/organization/masterclass,https://images.crunchbase.com/image/upload/t_cb-default-original/gfdabqdxifoicnhiikq6,MasterClass,$3B,$461M
429,Turkey,Europe,Index Ventures,https://www.crunchbase.com/organization/dream-games,https://images.crunchbase.com/image/upload/t_cb-default-original/unf8lbgcvxbky4syoxpy,Dream Games,$3B,$468M
430,United States,North America,SoftBank Vision Fund,https://www.crunchbase.com/organization/ethos-life,https://images.crunchbase.com/image/upload/t_cb-default-original/eeimxvbivqfvw4ceqcc5,Ethos Life,$3B,$414M
431,United States,North America,Goldman Sachs Asset Management,https://www.crunchbase.com/organization/nextiva,https://images.crunchbase.com/image/upload/t_cb-default-original/ehqgconesnkrqf0hr5mh,Nextiva,$3B,$200M
432,Israel,Asia,"Alpha Wave Global, Farallon Capital Management",https://www.crunchbase.com/organization/hibob,https://images.crunchbase.com/image/upload/t_cb-default-original/5b0d8138a5394e6e859c27dba749e73f,HiBob,$3B,$574M
433,United Kingdom,Europe,Temasek Holdings,https://www.crunchbase.com/organization/thoughtmachine,https://images.crunchbase.com/image/upload/t_cb-default-original/bx6nxang3fzxztbwum9i,Thought Machine,$3B,$563M
434,South Korea,Asia,DS Asset Management,https://www.crunchbase.com/organization/tridge,https://images.crunchbase.com/image/upload/t_cb-default-original/kqhmicnak44edpqrefro,Tridge,$3B,$114M
435,The Netherlands,Europe,Motive Partners,https://www.crunchbase.com/organization/backbase,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Backbase,$3B,$129M
436,United States,North America,Intel Capital,https://www.crunchbase.com/organization/figure-b5dc,https://images.crunchbase.com/image/upload/t_cb-default-original/j4n1oceesm3dpic6iprz,Figure,$3B,$854M
437,South Korea,Asia,DST Global,https://www.crunchbase.com/organization/daangn-market,https://images.crunchbase.com/image/upload/t_cb-default-original/fjncqsyvetlmshmstgew,Karrot Market,$3B,$235M
438,United States,North America,Andreessen Horowitz,https://www.crunchbase.com/organization/sourcegraph,https://images.crunchbase.com/image/upload/t_cb-default-original/qsfc7ab1dolwqaminuxi,Sourcegraph,$3B,$248M
439,The Netherlands,Europe,Mastercard,https://www.crunchbase.com/organization/airtel-mobile-commerce-bv,https://images.crunchbase.com/image/upload/t_cb-default-original/l2a3owmfgdghqvbl9xyb,Airtel Mobile Commerce BV,$3B,$300M
440,United States,North America,Sapphire Ventures,https://www.crunchbase.com/organization/jumpcloud,https://images.crunchbase.com/image/upload/t_cb-default-original/ebo9yrw4ahkicrcuhlfw,JumpCloud,$3B,$407M
441,United States,North America,"A.P. Moller Holding, Generation Investment Management",https://www.crunchbase.com/organization/project44,https://images.crunchbase.com/image/upload/t_cb-default-original/jepur250c3yx5isdaquj,project44,$3B,$943M
442,United States,North America,"Accel, Lightspeed Venture Partners",https://www.crunchbase.com/organization/axonius,https://images.crunchbase.com/image/upload/t_cb-default-original/jqhbhb20i9gq3un21kui,Axonius,$3B,$595M
443,United States,North America,Blackstone Group,https://www.crunchbase.com/organization/clari,https://images.crunchbase.com/image/upload/t_cb-default-original/kds3wew4km3cclnc59mw,Clari,$3B,$496M
444,United States,North America,SoftBank Vision Fund,https://www.crunchbase.com/organization/plume-design-inc,https://images.crunchbase.com/image/upload/t_cb-default-original/f3h5icusg1vh5gwoqzq5,Plume Design,$3B,$697M
445,United States,North America,B Capital,https://www.crunchbase.com/organization/pendo-io,https://images.crunchbase.com/image/upload/t_cb-default-original/axx7yoim60p3x25lk4ys,Pendo,$3B,$367M
