,country,region,lead_investors,company_link,img_src,company_name,post_money_value,total_eq_funding
69,India,Asia,Temasek Holdings,https://www.crunchbase.com/organization/mahindra-electric-automobile,https://images.crunchbase.com/image/upload/t_cb-default-original/yemvsxr4jbeq8vuwgh0s,Mahindra Electric Automobile,$10B,$388M
70,United States,North America,Friends & Family Capital,https://www.crunchbase.com/organization/gusto,https://images.crunchbase.com/image/upload/t_cb-default-original/dnygrrwj63dllcnpjvrp,Gusto,$10B,$746M
71,United States,North America,Thoma Bravo,https://www.crunchbase.com/organization/servicetitan,https://images.crunchbase.com/image/upload/t_cb-default-original/wuyj7sf0htdjencjc4rc,ServiceTitan,$10B,$1B
72,United States,North America,Greenoaks,https://www.crunchbase.com/organization/tripactions,https://images.crunchbase.com/image/upload/t_cb-default-original/xwkki258tar4xovtdomu,Navan,$9B,$1B
73,India,Asia,TPG Rise Climate Fund,https://www.crunchbase.com/organization/tata-passenger-electronic-mobility,https://images.crunchbase.com/image/upload/t_cb-default-original/bwfjdhioj0hschje5vzx,Tata Passenger Electric Mobility,$9B,$988M
74,Germany,Europe,"Coatue, Third Point Ventures",https://www.crunchbase.com/organization/n26,https://images.crunchbase.com/image/upload/t_cb-default-original/os4gsjylp8qjw44zvai0,N26,$9B,$2B
75,United States,North America,Salesforce Ventures,https://www.crunchbase.com/organization/tanium,https://images.crunchbase.com/image/upload/t_cb-default-original/mtdqf4ydskq1hnbqqkk9,Tanium,$9B,$775M
76,South Korea,Asia,SoftBank Vision Fund,https://www.crunchbase.com/organization/yanolja,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Yanolja,$9B,$2B
77,United States,North America,Fidelity,https://www.crunchbase.com/organization/vast-data,https://images.crunchbase.com/image/upload/t_cb-default-original/immlilkn93rppcg82qc3,VAST Data,$9B,$381M
78,United States,North America,Coatue,https://www.crunchbase.com/organization/nianticlabs,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Niantic,$9B,$770M
79,China,Asia,"Coatue, Hillhouse Investment",https://www.crunchbase.com/organization/heytea,https://images.crunchbase.com/image/upload/t_cb-default-original/vzzvzccyktwl140bg1tn,HeyTea,$9B,$594M
80,United Kingdom,Europe,CPP Investments,https://www.crunchbase.com/organization/octopus-energy,https://images.crunchbase.com/image/upload/t_cb-default-original/tdnrdlivypqzwvp3jzhd,Octopus Energy,$9B,$3B
81,India,Asia,,https://www.crunchbase.com/organization/4-wheel-passenger-electric-vehicle-co,,EV Co,$9B,$486M
82,China,Asia,"SBI Group, SoftBank Vision Fund",https://www.crunchbase.com/organization/ping-an-healthcare-management,https://images.crunchbase.com/image/upload/t_cb-default-original/fzfenukrf40gxmwhsuwl,Ping An Healthcare Management,$9B,$1B
83,Mexico,North America,General Catalyst,https://www.crunchbase.com/organization/kavak,https://images.crunchbase.com/image/upload/t_cb-default-original/iftzpinxsnyvo5bxvgxr,Kavak,$9B,$2B
84,United States,North America,Tiger Global Management,https://www.crunchbase.com/organization/nuro-2,https://images.crunchbase.com/image/upload/t_cb-default-original/zjh5l8un9espuon5xfao,Nuro,$9B,$2B
85,United States,North America,NEOM Investment Fund,https://www.crunchbase.com/organization/pony-ai,https://images.crunchbase.com/image/upload/t_cb-default-original/gcua2k8ywdujhmrwpwxt,Pony.ai,$9B,$1B
86,Germany,Europe,Greenoaks,https://www.crunchbase.com/organization/personio,https://images.crunchbase.com/image/upload/t_cb-default-original/dnsftyv2qkh56v8axjcc,Personio,$8B,$724M
87,Estonia,Europe,"Fidelity, Sequoia Capital",https://www.crunchbase.com/organization/mtakso,https://images.crunchbase.com/image/upload/t_cb-default-original/astrbsil5qsea9vdbxxy,Bolt,$8B,$2B
88,United States,North America,G Squared,https://www.crunchbase.com/organization/tipalti,https://images.crunchbase.com/image/upload/t_cb-default-original/e0svyeflnv3bgwmtjvzf,Tipalti,$8B,$549M
89,Vietnam,Asia,"Alibaba Group, BPEA EQT",https://www.crunchbase.com/organization/the-crown-x,https://images.crunchbase.com/image/upload/t_cb-default-original/psujojmig1dpbfndlo9x,The CrownX,$8B,$750M
90,China,Asia,Accel,https://www.crunchbase.com/organization/dji,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",DJI,$8B,$105M
91,United States,North America,Shopify,https://www.crunchbase.com/organization/flexport,https://images.crunchbase.com/image/upload/t_cb-default-original/ee1aes8zckgjvrpkapof,Flexport,$8B,$2B
92,United States,North America,"D1 Capital Partners, Spark Capital",https://www.crunchbase.com/organization/fireblocks,https://images.crunchbase.com/image/upload/t_cb-default-original/f6h9v4prv1idlgh4rrdl,Fireblocks,$8B,$1B
93,United Kingdom,Europe,SoftBank,https://www.crunchbase.com/organization/thg-ingenuity,https://images.crunchbase.com/image/upload/t_cb-default-original/nlqxfdswbws5a5xvk1sg,THG Ingenuity,$8B,$2B
94,United States,North America,"B Capital, GIC",https://www.crunchbase.com/organization/falconx,https://images.crunchbase.com/image/upload/t_cb-default-original/h5vmlj1yec1cx8wrosvh,FalconX,$8B,$474M
95,Israel,Asia,"Alameda Research, Coatue",https://www.crunchbase.com/organization/starkware-industries-ltd,https://images.crunchbase.com/image/upload/t_cb-default-original/wghqgdriobpgz4nq0q4x,StarkWare Industries,$8B,$261M
96,India,Asia,"Alpha Wave Global, D1 Capital Partners",https://www.crunchbase.com/organization/dream11,https://images.crunchbase.com/image/upload/t_cb-default-original/i7zvsu1xba0csvviwohq,Dream11,$8B,$1B
97,United States,North America,Sixth Street,https://www.crunchbase.com/organization/caris-life-sciences,https://images.crunchbase.com/image/upload/t_cb-default-original/ucyl2rkbpusxg6ow4ujq,Caris Life Sciences,$8B,$1B
98,United Kingdom,Europe,"Altimeter Capital, Arena Holdings",https://www.crunchbase.com/organization/hopin-8ff6,https://images.crunchbase.com/image/upload/t_cb-default-original/gctyrpywcu87j850uutf,Hopin,$8B,$1B
99,China,Asia,,https://www.crunchbase.com/organization/calb,https://images.crunchbase.com/image/upload/t_cb-default-original/fh1vr4bl3mlsuanoiqyq,CALB,$8B,$2B
100,Norway,Europe,,https://www.crunchbase.com/organization/autostore,https://images.crunchbase.com/image/upload/t_cb-default-original/uqtqutyps1xwzmn7s1ki,AutoStore,$8B,$0
101,United States,North America,"Founders Fund, Khosla Ventures",https://www.crunchbase.com/organization/ramp-financial,https://images.crunchbase.com/image/upload/t_cb-default-original/sshwc4pe2wfsfsm102id,Ramp,$8B,$1B
102,United States,North America,Coinbase,https://www.crunchbase.com/organization/circle-2,https://images.crunchbase.com/image/upload/t_cb-default-original/onopspdnhgb86yiuvtsy,Circle,$8B,$1B
103,China,Asia,Stellantis,https://www.crunchbase.com/organization/leapmotor,https://images.crunchbase.com/image/upload/t_cb-default-original/tit5y46pgdj2wu3kpkzm,Leapmotor,$8B,$3B
104,China,Asia,,https://www.crunchbase.com/organization/jiedaibao,https://images.crunchbase.com/image/upload/t_cb-default-original/o4htcq2qwmhzjb34vy52,Jiedaibao,$8B,$694M
105,Canada,North America,Coatue,https://www.crunchbase.com/organization/dapper-labs,https://images.crunchbase.com/image/upload/t_cb-default-original/y5ntokrwgo0x7kzimcf5,Dapper Labs,$8B,$613M
106,United States,North America,Morgan Stanley,https://www.crunchbase.com/organization/netskope,https://images.crunchbase.com/image/upload/t_cb-default-original/erqtxzbwiij3wo6yq3ld,Netskope,$8B,$1B
107,United States,North America,ServiceNow,https://www.crunchbase.com/organization/snyk,https://images.crunchbase.com/image/upload/t_cb-default-original/ma6xxzd8jcgyezgcfowu,Snyk,$7B,$1B
108,United States,North America,Silver Lake,https://www.crunchbase.com/organization/eshares,https://images.crunchbase.com/image/upload/t_cb-default-original/wypw7nnrsebjl8k2eljh,Carta,$7B,$1B
109,Japan,Asia,Anchor Equity Partners,https://www.crunchbase.com/organization/kakao-japan,https://images.crunchbase.com/image/upload/t_cb-default-original/0b34e8ec8be39685bd59,Kakao Japan,$7B,$652M
110,United States,North America,Franklin Templeton,https://www.crunchbase.com/organization/gong-io,https://images.crunchbase.com/image/upload/t_cb-default-original/qeqdlemd7h3j5jltgp0s,Gong,$7B,$583M
111,United Kingdom,Europe,Kingsway Capital,https://www.crunchbase.com/organization/blockchain-info,https://images.crunchbase.com/image/upload/t_cb-default-original/krinnxb23kgp75s0jyhp,Blockchain.com,$7B,$600M
112,United States,North America,ParaFi Capital,https://www.crunchbase.com/organization/consensus-systems,https://images.crunchbase.com/image/upload/t_cb-default-original/1993a903054c49a9b6530da8d31ac0ad,ConsenSys,$7B,$660M
